Time,PET
1.0,0.17436
2.0,0.15355
3.0,0.15518
4.0,0.076228
5.0,0.073625
6.0,0.05477
7.0,0.051419
8.0,0.06484
9.0,0.0632
10.0,0.10064
11.0,0.1158
12.0,0.12424
13.0,0.12682
14.0,0.031265
15.0,0.061419
16.0,0.093129
17.0,0.085395
18.0,0.12166
19.0,0.16577
20.0,0.085704
21.0,0.1122
22.0,0.058712
23.0,0.15025
24.0,0.095828
25.0,0.1241
26.0,0.10303
27.0,0.14683
28.0,0.083449
29.0,0.11265
30.0,0.1479
31.0,0.28926
32.0,0.30131
33.0,0.21636
34.0,0.24654
35.0,0.25134
36.0,0.21328
37.0,0.24059
38.0,0.40965
39.0,0.35278
40.0,0.22387
41.0,0.20812
42.0,0.17619
43.0,0.17801
44.0,0.2074
45.0,0.34782
46.0,0.24926
47.0,0.2639
48.0,0.15769
49.0,0.31006
50.0,0.21009
51.0,0.23477
52.0,0.22595
53.0,0.23755
54.0,0.20417
55.0,0.17477
56.0,0.17137
57.0,0.15511
58.0,0.16039
59.0,0.18652
60.0,0.19373
61.0,0.30765
62.0,0.30426
63.0,0.18012
64.0,0.22669
65.0,0.16858
66.0,0.26448
67.0,0.21644
68.0,0.18456
69.0,0.17259
70.0,0.12936
71.0,0.13999
72.0,0.19781
73.0,0.21257
74.0,0.26992
75.0,0.27081
76.0,0.39318
77.0,0.39691
78.0,0.33041
79.0,0.3412
80.0,0.21548
81.0,0.2032
82.0,0.31713
83.0,0.37618
84.0,0.34222
85.0,0.42925
86.0,0.47061
87.0,0.3391
88.0,0.39473
89.0,0.43061
90.0,0.41094
91.0,0.40227
92.0,0.38403
93.0,0.40483
94.0,0.44717
95.0,0.47932
96.0,0.68234
97.0,0.68941
98.0,0.50809
99.0,0.38912
100.0,0.20149
101.0,0.2068
102.0,0.28918
103.0,0.39734
104.0,0.47242
105.0,0.43118
106.0,0.62042
107.0,0.73558
108.0,0.58034
109.0,0.53857
110.0,0.53173
111.0,0.58061
112.0,0.51876
113.0,0.31042
114.0,0.40878
115.0,0.49685
116.0,0.63881
117.0,0.49496
118.0,0.34082
119.0,0.61357
120.0,0.53547
121.0,0.89096
122.0,0.73037
123.0,0.61151
124.0,0.51415
125.0,0.51154
126.0,0.33174
127.0,0.32169
128.0,0.16076
129.0,0.3828
130.0,0.47174
131.0,0.62705
132.0,0.66327
133.0,0.62736
134.0,0.63377
135.0,0.57868
136.0,0.59582
137.0,0.77175
138.0,0.92679
139.0,0.87671
140.0,0.602
141.0,0.5031
142.0,0.45082
143.0,0.51671
144.0,0.47086
145.0,0.5442
146.0,0.5464
147.0,0.61434
148.0,0.70618
149.0,0.77002
150.0,0.70119
151.0,0.7831
152.0,0.83076
153.0,0.74534
154.0,0.68476
155.0,0.8186
156.0,0.65173
157.0,0.7801
158.0,0.74445
159.0,0.69959
160.0,0.70378
161.0,0.68341
162.0,0.66681
163.0,0.84279
164.0,0.78853
165.0,0.7142
166.0,0.6004
167.0,0.47761
168.0,0.5853
169.0,0.34711
170.0,0.52618
171.0,0.71348
172.0,0.6951
173.0,0.72984
